stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,_loaded_at_utc
NYC FLEET / DOE_PS65#1,677 East 141st Street,The Bronx,New York,10454,40.808058849402,-73.912894148921,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2026-02-03T18:29:54Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_QNSRPR_2_L3,106-36 180th St,Queens,New York,11433,40.702955651802945,-73.77781344049284,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,INUSE,NONE,Charging,1,1,0,0,2026-02-03T18:32:08Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_QNSRPR_1_L3,106-36 180th St,Queens,New York,11433,40.70295921022579,-73.77784227423975,Level 3,Level 3,CPE250C-500-CHD-CCS1,Reachable,INUSE,NONE,Charging,1,1,0,0,2026-02-03T18:32:21Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / FDNY_FTOTTEN#1,402 Murray Ave,Queens,New York,11359,40.79352475506584,-73.7776962116394,Level 2,Level 2,CPF50-L18,Reachable,INUSE,NONE,Available,1,0,0,1,2026-02-03T18:27:10Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / FDNY_FTOTTEN#2,402 Murray Ave,Queens,New York,11359,40.79344353033537,-73.77776058465575,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:27:10Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_JRMRES_1_L3,3055 Goulden Avenue,The Bronx,New York,10468,40.878025821862,-73.892735583695,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:31:35Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_TANNRSVLE-1,130 Allen Lane,Tannersville,New York,12485,42.187353459221,-74.150403759039,Level 2,Level 2,CT4020-HD-GW,Unreachable,UNREACHABLE,NONE,Available,2,0,0,2,2026-02-03T08:00:29Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_TNRVLE_1_L3,130 Allen Lane,Tannersville,New York,12485,42.187346564152,-74.150430271262,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:31:38Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_179PMP_2_L3,2405 Amsterdam Avenue,New York,New York,10033,40.846778051365,-73.931139354877,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:25:31Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_179PMP_1_L3,2405 Amsterdam Avenue,New York,New York,10033,40.846815163658,-73.931238250082,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:32:29Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DEP_GRNGRG_1_L3,570 Van Aken Road,Grand Gorge,New York,12434,42.361946282402,-74.473760672484,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:28:16Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DSNY_QW6-DCFC1,2720 53rd Avenue,Queens,New York,11377,40.733692545882,-73.907930414221,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:31:09Z,2026-02-03T18:33:15.790551+00:00
NYC FLEET / DSNY_QW3-DCFC2,2720 53rd Avenue,Queens,New York,11377,40.733600200634,-73.908945463454,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2026-02-03T18:26:20Z,2026-02-03T18:33:15.790551+00:00
